,Speed.Number,order,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pm2.5,UHC_index_2019,conf_death,conf_cases,index_stringency,gov_responses ,Density(P/KmÂ²),%recovered,%death,Index_containment_health
0,0.888888889,34,0.105598924,0.052701835,0.050140111,0.03048439,0.000185659,0.000165004,0.261145918,0.001077681,556.3021385,53.2,37,1402,1975,58,59,60,29.01,70.99,35.80999936
1,5.846153846,48,0.044023462,0.032645904,0.042847605,0.023330625,1.18E-05,1.73E-05,0.132001191,0.000263812,4532.890162,17.9,59,107,38143,50,50,105,99.72,0.28,50.27794085
2,5.346153846,35,0.085690849,0.054947938,0.038137093,0.029308695,0.000285484,0.000260615,0.117466501,0.00037949,4044.298372,35.2,78,0,2551,79,68,18,100,0,47.39716697
3,1,59,0.097936219,0.068842935,0.030039942,0.030925239,0.013423426,0.014101079,0.222920506,0.005276856,4095.812942,27.9,40,275,3,56.64963504,59.00729927,276,8.33,91.67,56.95779867
4,0.111111111,52,0.085483858,0.07191854,0.020194663,0.01233317,0.000959695,0.001538015,0.189396299,0.00019495,15383.41519,17.9,73,53,9279,54,55,164,99.43,0.57,50.53112435
5,8.315789474,42,0.06874608,0.046176023,0.037633593,0.020310723,0.004848244,0.004470382,0.152910076,0.000247522,14591.86338,11.8,76,379,1124,42,57,26,66.28,33.72,33.47545874
6,7.619047619,40,0.089223096,0.068957679,0.042156054,0.023943972,0.000547289,0.00052425,0.145043189,0.000527435,3914.501268,30.5,69,8305,69328,56.64963504,59.00729927,167,88.02,11.98,51.64943701
7,19.125,5,0.042799115,0.02665448,0.0332226,0.018714305,0.000612564,0.000369133,0.090995926,0.000112352,54066.47127,7.2,87,600,392009,88,83,223,99.85,0.15,61.83269202
8,108.2307692,35,0.058980354,0.035797357,0.057641599,0.02208838,0.001626282,0.001041719,0.074060069,0.00015145,47431.63061,12.4,79,733,25547,79,82,17,97.13,2.87,53.06458268
9,2.523809524,40,0.087363812,0.068389088,0.041786659,0.02386359,0.000279661,0.000228244,0.160870124,0.001273772,4147.089716,18.2,65,529,26937,31,51,104,98.04,1.96,43.95608323
10,11.2962963,34,0.118086356,0.072217979,0.038123516,0.029779552,0.000174035,0.000196372,0.147942696,0.000285591,23715.48275,69,77,1,36174,85,79,593,100,0,61.89070882
11,1.785714286,47,0.055005617,0.038357138,0.038670637,0.038936974,6.27E-05,0.000107512,0.134078308,0.003701967,1563.994082,58.3,48,9891,439,11,14,3,25.53,74.47,22.4503332
12,1.2,56,0.090015311,0.081048599,0.019354912,0.012750063,0.004921723,0.004501477,0.188309577,0.000115654,17431.60292,22.2,77,40,84505,56,62,109,99.95,0.05,48.79069913
13,3.304347826,38,0.049948325,0.034738095,0.040555166,0.021205277,0.001760285,0.001308003,0.125197789,0.000531061,5761.74712,18.1,76,55,2145,42,51,123,97.44,2.56,39.43583752
14,59.89361702,14,0.069307979,0.04410286,0.051942658,0.026240884,0.001690648,0.001024275,0.076301438,0.000145413,44219.562,12.9,84,4206,1362,48,44,39,69.12,30.88,42.3222318
15,0.333333333,55,0.064578525,0.048710181,0.033829785,0.034461626,0.008235627,0.006493666,0.319149178,0.003945595,829.4788028,33.1,40,605,308925,80,72,223,99.8,0.2,56.1974995
16,0.125,45,0.057367027,0.040611447,0.031007859,0.036494526,0.001111429,0.001466411,0.132758016,0.003238348,3286.574704,35.3,62,189,16164,31,41,126,98.83,1.17,36.94875518
17,1.727272727,50,0.069900916,0.057695412,0.027270299,0.016456529,0.002027702,0.002232416,0.237397368,0.000893414,3351.124053,20.2,68,588,51391,69,77,668,98.86,1.14,57.96136311
18,5.470588235,44,0.081753615,0.056371333,0.054130321,0.027371834,1.09E-05,1.36E-05,0.140800336,0.000486812,5394.59122,27.3,61,671,19214,59,46,47,96.51,3.49,46.03456821
19,40.84,36,0.041785927,0.033537865,0.040503984,0.019620169,0.004100273,0.003704107,0.247557096,0.000338029,9880.946543,11.5,79,13,71523,8,21,383,99.98,0.02,17.31987327
20,6.384615385,48,0.112552509,0.075975791,0.027322491,0.021568565,0.00094634,0.00082336,0.264313131,0.001200581,28572.14678,5.8,81,9,964,71,71,17,99.07,0.93,48.66620247
21,11.64285714,47,0.054775635,0.040084991,0.053745812,0.028816955,0.000237059,0.000239052,0.12761783,0.000354396,8228.01157,18.8,66,4938,169,48,58,108,21.89,78.11,52.20583041
22,5.333333333,49,0.05333225,0.040250964,0.03359105,0.034125123,0.006602833,0.005925118,0.343912882,0.005013605,642.4298387,36.8,40,120462,115354,90,69,124,4.43,95.57,53.63970386
23,0.963636364,6,0.074806567,0.054327144,0.038397336,0.041690918,0.005036059,0.004449917,0.2749232,0.012023692,1385.458363,24,60,7,3846153,64,61,20,100,0,48.01652464
24,1.6875,45,0.05364677,0.038739585,0.034654507,0.034692098,0.027786742,0.027426457,0.296909517,0.003751886,1421.587492,65.3,46,3,170,51,54,11,98.24,1.76,50.9242054
25,22.82142857,5,0.052133363,0.036679537,0.032014622,0.017205375,0.002088599,0.001310631,0.055698732,9.25E-05,45069.92725,6.5,89,0,144,37,37,64,100,0,40.97602543
26,2,59,0.059079125,0.049628886,0.015853115,0.018522078,0.008647109,0.009025001,0.218462921,0.003346082,3292.645755,32,69,6,195,66,72,4,96.92,3.08,55.95707265
27,0.428571429,54,0.097474698,0.064822133,0.034341225,0.033251263,0.025556555,0.027076394,0.303817229,0.006593448,449.7864235,49.5,33,61,1633,47,49,25,96.26,3.74,44.24856504
28,0.333333333,58,0.057187306,0.039764371,0.038324474,0.035635844,0.013595186,0.011973812,0.379851335,0.004805485,664.3033157,53,28,9113,4700,55,48,202,6.11,93.89,38.99223609
29,28.26315789,42,0.068184073,0.043294242,0.032761076,0.016756744,0.003275966,0.002858595,0.126451741,0.00023901,15037.35028,21,70,1724,127673,64,71,83,98.65,1.35,51.85445794
30,1355.083333,1,0.050365735,0.039993121,0.037978755,0.041705561,0.000381717,0.000633624,0.284523774,0.004512138,8759.041578,49.2,79,11181,41615,45,52,64,73.13,26.87,44.12646046
31,12.25,45,0.041494923,0.03894463,0.031098409,0.024889451,0.002277139,0.002466689,0.216167114,0.000291038,6375.932063,15.2,76,4721,408009,84,86,76,98.84,1.16,53.77395824
32,0.428571429,54,0.099699981,0.071336169,0.028330738,0.029580274,0.021447512,0.022986881,0.221988733,0.004339229,1702.571349,38.7,39,115,89863,82,78,463,99.87,0.13,73.15875071
33,2.090909091,50,0.091220642,0.06289494,0.03277244,0.033006917,0.00599321,0.005577442,0.240491753,0.006921895,467.0742375,37.6,41,411,17893,26,43,138,97.7,2.3,41.85918415
34,7.3125,45,0.047707419,0.043560898,0.031418667,0.024460688,0.001738725,0.00185147,0.196076249,0.000166297,11752.5434,15.9,77,257,19142,60,54,95,98.66,1.34,41.6968616
35,1.272727273,50,0.058956848,0.044338486,0.031923122,0.032251028,0.025797207,0.023830714,0.366798392,0.004149939,1557.182814,23.7,47,78,10007,37,40,56,99.22,0.78,45.90050149
36,7.923076923,35,0.067011632,0.056051104,0.050308733,0.026344526,0.000138826,0.000104651,0.106397385,0.000236981,13412.34195,17,71,19064,3979,68,65,4,20.88,79.12,47.52485272
37,2.1,51,0.057942243,0.052627481,0.028038549,0.019033695,0.002246192,0.002089736,0.170758307,0.000115226,8541.210673,18.4,83,39,599914,87,85,80,99.99,0.01,61.11266698
38,6.461538462,48,0.074830047,0.045215462,0.039642957,0.021970392,0.000334194,0.000244794,0.079055873,0.000140238,25760.7627,16.8,78,418,3778,71,76,274,88.94,11.06,52.63811914
39,47.38095238,40,0.077190172,0.052734911,0.051659746,0.02587419,0.000135172,0.000101124,0.102436993,0.000150748,20379.89604,15.1,76,94,39699,67,60,8,99.76,0.24,52.53620796
40,59.16666667,37,0.104073988,0.055555509,0.039738358,0.021462058,0.001016432,0.000671683,0.076398785,0.000130257,57141.05984,10.1,81,1,3925,56.64963504,59.00729927,13,99.97,0.03,52.38508741
41,0.25,57,0.065736988,0.056325697,0.018967806,0.023712041,0.010977896,0.01527267,0.339141798,0.005370052,2930.703172,40.4,47,21,205,56.64963504,59.00729927,915,89.76,10.24,76.4941971
42,5.333333333,40,0.06107225,0.053239185,0.025547883,0.01630248,0.006983183,0.008202526,0.224097174,0.000579574,7609.345492,12.9,74,421,1483,47,63,26,71.61,28.39,50.61485321
43,24.0952381,40,0.060993637,0.053640625,0.023352853,0.015096436,0.002397348,0.002844382,0.184165595,0.00043202,6213.501276,14.9,77,9295,24094,36,47,153,61.42,38.58,42.91740632
44,7.945945946,24,0.091873202,0.064121647,0.044715403,0.033627608,5.12E-05,3.88E-05,0.230796792,0.000285066,2440.510173,79.3,68,60,241771,57,61,46,99.98,0.02,50.79924615
45,1,58,0.07271352,0.063784505,0.02980141,0.022106063,0.003823793,0.003686482,0.239622888,0.000316297,3902.242318,23.4,76,0,5385,45,44,467,100,0,46.93675149
46,0.857142857,54,0.112224677,0.082338678,0.024582556,0.026560494,0.041001476,0.041802009,0.164047283,0.004280092,9738.434224,45.9,45,624,20,36,52,16,30.2,69.8,44.2811861
47,1,60,0.0627804,0.045434828,0.021465594,0.023324974,0.005872251,0.006474341,0.302048594,0.00714949,582.78,42.4,38,1673,16700,56,68,73,89.98,10.02,48.83050108
48,12.75,37,0.069088654,0.048074948,0.037569601,0.01947923,0.002926453,0.001922729,0.110559343,0.000313063,20337.84973,6.7,75,1491,93732,79,67,100,98.41,1.59,54.43954755
49,1,52,0.045455901,0.036760725,0.018337153,0.021788073,0.009306819,0.00804539,0.210676144,0.005426244,768.4250255,34.4,39,6537,43782,80,73,73,85.07,14.93,47.41527295
50,0.333333333,58,0.22217619,0.152014184,0.033480526,0.031806378,0.000500744,0.000458891,0.375309339,0.001625316,6101.030839,10.2,64,5376,112906,76,76,106,95.24,4.76,57.7158331
51,9.867924528,8,0.085872044,0.048393388,0.030311969,0.016905089,0.000410912,0.000257352,0.071350314,0.000109277,46191.93116,5.9,78,0,98497,57,64,370,100,0,50.63344614
52,248.8103448,3,0.049068711,0.026762633,0.032414559,0.011496446,0.00145282,0.001061978,0.078407151,0.000149764,38679.12715,11.6,78,29011,318,94,75,131,22.96,77.04,55.11217347
53,0.5,53,0.103069907,0.075585657,0.023425041,0.024846109,0.025324476,0.018633107,0.195166001,0.003894457,7212.535744,38.5,49,64,439286,56.64963504,59.00729927,139,99.99,0.01,49.26206863
54,1.96,36,0.098155387,0.077141003,0.042945385,0.024526429,0.00131122,0.001206739,0.156282482,0.000961576,4357.011625,21.2,66,770,2363,19,26,83,67.41,32.59,29.55179108
55,403.8727273,6,0.059218702,0.030474188,0.048479959,0.026599667,0.001249888,0.000775496,0.078426656,0.000131524,44240.04411,11.7,83,335,49654,78,73,137,99.33,0.67,49.19946633
56,2.375,53,0.065415077,0.051254307,0.036259365,0.037901767,0.012082893,0.013699243,0.281550699,0.005070146,2025.885857,31.9,47,2,8049,38,47,43,99.98,0.02,35.08333282
57,21.2,36,0.063927409,0.040271697,0.040133668,0.030404704,0.000410233,0.000294725,0.079274625,0.000131387,18883.46007,15.7,75,0,28,51,62,96,100,0,54.64768294
58,2.125,53,0.088013285,0.075931272,0.033999851,0.024548068,0.002237299,0.002343701,0.30125244,0.000270759,4470.609994,23.6,55,30602,13,56.64963504,59.00729927,225,23.53,76.47,56.45037345
59,0.222222222,52,0.050785183,0.038430345,0.035428781,0.036254732,0.011839296,0.010347277,0.370528474,0.004974687,855.5736399,22.4,37,53,272530,44,54,40,99.98,0.02,51.4628634
60,0.7,51,0.099488315,0.07916189,0.024113156,0.013838787,0.01281566,0.009908908,0.27905226,0.000544398,4586.054572,20.5,72,41498,8505,61,71,71,37.92,62.08,53.7175001
61,1,59,0.086675348,0.063141001,0.036538221,0.019296469,0.015674632,0.01130314,0.392584299,0.000623986,765.7272943,14.6,49,19,332752,64,73,103,99.99,0.01,50.25548589
62,2.181818182,50,0.066072913,0.057002138,0.039918414,0.02917047,0.001057663,0.000837625,0.328864929,0.000454621,2449.964691,20.1,65,270,1462,59,60,313,81.53,18.47,57.40282753
63,5.722222222,43,0.07441371,0.046782193,0.060880631,0.0309083,0.000128781,0.000103825,0.116668686,0.000198555,14457.60876,15.6,74,0,44118,53,52,50,100,0,46.34464179
64,20.56521739,38,0.077820994,0.045628551,0.044111476,0.028861868,0.000906115,0.000593432,0.06909683,0.000104566,71314.7742,5.9,84,59,275,56.64963504,59.00729927,35,78.55,21.45,64.70458396
65,6.346153846,9,0.056872513,0.038856302,0.047559357,0.057406499,0.00139036,0.001255152,0.389945663,0.007493916,1981.268706,65.2,55,96,9251,71,58,31,98.96,1.04,48.42037915
66,22.5,41,0.086508373,0.067983472,0.032769978,0.038645995,0.001301311,0.003742273,0.312456186,0.007134501,3836.913814,15.6,57,260,2895,78,67,67,91.02,8.98,48.61063324
67,644.0625,29,0.077930351,0.049479319,0.023443552,0.017562296,0.000239043,0.000247635,0.202516459,0.000192305,5627.749268,35.1,72,0,9977,56,68,115,100,0,44.64802611
68,7.925925926,34,0.096500217,0.057374832,0.033547201,0.023933903,3.13E-05,3.86E-05,0.220371582,0.000401346,5205.288255,57.7,61,2728,14,56.64963504,59.00729927,35,19.71,80.29,38.78995676
69,35.68181818,39,0.086953762,0.050297237,0.048904961,0.025395149,0.00086875,0.00055797,0.073339694,0.000127416,69649.88274,8.3,76,10,73679,87,75,0,99.99,0.01,58.98630169
70,29.43333333,31,0.070515964,0.042686248,0.034270013,0.01891563,0.001401552,0.000922589,0.087432863,8.66E-05,40541.86209,19.5,82,35,1347,80,72,49,97.4,2.6,47.02266071
71,1050.54902,10,0.060826521,0.043107769,0.026592922,0.014884649,0.002764902,0.001831253,0.107620413,0.000149558,32326.84175,15.3,82,87,1184,73,65,18,92.65,7.35,54.82304163
72,1.454545455,50,0.093836048,0.082502822,0.026340531,0.016628311,0.006736768,0.006382185,0.221997006,0.000182227,5069.183838,13.3,65,1842,4786,67,77,119,61.51,38.49,56.46206735
73,16.78333333,1,0.041149125,0.027389201,0.019337125,0.015104508,0.0001889,0.000149541,0.201680192,0.000185527,38331.9794,11.4,83,183,59645,88,81,4,99.69,0.31,61.21810697
74,4.473684211,42,0.095411881,0.059469631,0.031242316,0.024576303,5.79E-05,5.73E-05,0.070724199,0.000152077,4162.820687,32.1,76,201,9861,31,50,77,97.96,2.04,47.00207652
75,5.888888889,52,0.066897061,0.04998147,0.04769131,0.02610091,0.000780024,0.00059997,0.149633073,0.0010455,9247.581331,11.3,76,614,8209,18,26,9,92.52,7.48,39.68621411
